Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
224.51	0.68262	1105.0	0.00090498	3.0518	3.0790	14.978	40.523	79.447	880.44	-0.14607	undefined	undefined	0.014621	17.893	0.055889	15.659	17.339	78.491	31.036	44.891	221.11	24.443	undefined	undefined
224.73	0.68820	1104.3	0.00090557	3.0684	3.0959	15.052	40.517	79.484	879.09	-0.14508	undefined	undefined	0.014576	18.033	0.055453	15.662	17.342	78.445	31.066	44.960	221.12	24.378	undefined	undefined
224.94	0.69381	1103.5	0.00090617	3.0851	3.1128	15.127	40.512	79.522	877.74	-0.14408	undefined	undefined	0.014530	18.175	0.055022	15.665	17.345	78.400	31.096	45.028	221.12	24.314	undefined	undefined
225.15	0.69946	1102.8	0.00090677	3.1018	3.1297	15.201	40.507	79.560	876.39	-0.14308	undefined	undefined	0.014484	18.317	0.054594	15.668	17.349	78.354	31.127	45.097	221.13	24.250	undefined	undefined
225.36	0.70514	1102.1	0.00090736	3.1185	3.1466	15.275	40.501	79.598	875.04	-0.14208	undefined	undefined	0.014438	18.460	0.054171	15.671	17.352	78.309	31.157	45.166	221.14	24.186	undefined	undefined
225.57	0.71086	1101.4	0.00090797	3.1352	3.1636	15.349	40.496	79.636	873.69	-0.14107	undefined	undefined	0.014392	18.604	0.053751	15.674	17.355	78.263	31.187	45.235	221.15	24.123	undefined	undefined
225.79	0.71661	1100.6	0.00090857	3.1519	3.1805	15.423	40.491	79.674	872.34	-0.14005	undefined	undefined	0.014346	18.749	0.053336	15.677	17.359	78.218	31.218	45.304	221.15	24.059	undefined	undefined
226.00	0.72240	1099.9	0.00090917	3.1686	3.1975	15.497	40.485	79.713	870.99	-0.13903	undefined	undefined	0.014301	18.895	0.052924	15.679	17.362	78.173	31.248	45.374	221.16	23.996	undefined	undefined
226.21	0.72822	1099.2	0.00090978	3.1853	3.2145	15.571	40.480	79.752	869.64	-0.13801	undefined	undefined	0.014255	19.042	0.052516	15.682	17.365	78.127	31.278	45.444	221.17	23.934	undefined	undefined
226.42	0.73407	1098.4	0.00091038	3.2020	3.2314	15.645	40.475	79.791	868.29	-0.13697	undefined	undefined	0.014209	19.189	0.052112	15.685	17.369	78.082	31.309	45.514	221.17	23.871	undefined	undefined
226.63	0.73996	1097.7	0.00091099	3.2187	3.2484	15.719	40.470	79.830	866.93	-0.13594	undefined	undefined	0.014164	19.338	0.051712	15.688	17.372	78.037	31.339	45.585	221.18	23.809	undefined	undefined
226.85	0.74589	1097.0	0.00091160	3.2355	3.2654	15.793	40.465	79.870	865.58	-0.13489	undefined	undefined	0.014118	19.487	0.051315	15.691	17.375	77.992	31.370	45.656	221.18	23.747	undefined	undefined
227.06	0.75185	1096.2	0.00091221	3.2522	3.2824	15.867	40.460	79.910	864.23	-0.13384	undefined	undefined	0.014072	19.638	0.050923	15.693	17.378	77.948	31.400	45.727	221.19	23.686	undefined	undefined
227.27	0.75785	1095.5	0.00091282	3.2690	3.2994	15.941	40.455	79.950	862.88	-0.13279	undefined	undefined	0.014027	19.789	0.050533	15.696	17.382	77.903	31.431	45.798	221.19	23.624	undefined	undefined
227.48	0.76388	1094.8	0.00091344	3.2857	3.3164	16.014	40.450	79.990	861.53	-0.13173	undefined	undefined	0.013981	19.941	0.050148	15.699	17.385	77.858	31.461	45.870	221.19	23.563	undefined	undefined
227.69	0.76995	1094.0	0.00091405	3.3025	3.3335	16.088	40.445	80.031	860.18	-0.13066	undefined	undefined	0.013936	20.094	0.049766	15.701	17.388	77.813	31.492	45.942	221.20	23.503	undefined	undefined
227.91	0.77605	1093.3	0.00091467	3.3192	3.3505	16.162	40.440	80.072	858.83	-0.12959	undefined	undefined	0.013890	20.248	0.049387	15.704	17.391	77.769	31.522	46.014	221.20	23.442	undefined	undefined
228.12	0.78219	1092.6	0.00091529	3.3360	3.3675	16.235	40.435	80.113	857.47	-0.12851	undefined	undefined	0.013845	20.403	0.049012	15.707	17.394	77.724	31.553	46.086	221.20	23.382	undefined	undefined
228.33	0.78837	1091.8	0.00091591	3.3528	3.3846	16.309	40.430	80.154	856.12	-0.12743	undefined	undefined	0.013799	20.559	0.048641	15.710	17.397	77.680	31.583	46.159	221.20	23.322	undefined	undefined
228.54	0.79458	1091.1	0.00091653	3.3696	3.4016	16.383	40.425	80.196	854.77	-0.12634	undefined	undefined	0.013754	20.716	0.048273	15.712	17.400	77.635	31.614	46.232	221.20	23.262	undefined	undefined
228.75	0.80083	1090.3	0.00091715	3.3864	3.4187	16.456	40.420	80.238	853.42	-0.12525	undefined	undefined	0.013709	20.873	0.047908	15.715	17.404	77.591	31.644	46.305	221.20	23.202	undefined	undefined
228.97	0.80711	1089.6	0.00091778	3.4032	3.4358	16.530	40.415	80.280	852.06	-0.12414	undefined	undefined	0.013663	21.032	0.047547	15.718	17.407	77.547	31.675	46.378	221.20	23.143	undefined	undefined
229.18	0.81343	1088.8	0.00091840	3.4200	3.4529	16.603	40.410	80.322	850.71	-0.12304	undefined	undefined	0.013618	21.192	0.047189	15.720	17.410	77.503	31.706	46.452	221.20	23.084	undefined	undefined
229.39	0.81979	1088.1	0.00091903	3.4368	3.4700	16.677	40.406	80.365	849.36	-0.12192	undefined	undefined	0.013573	21.352	0.046834	15.723	17.413	77.459	31.736	46.526	221.20	23.025	undefined	undefined
229.60	0.82618	1087.4	0.00091966	3.4536	3.4871	16.750	40.401	80.408	848.00	-0.12080	undefined	undefined	0.013528	21.514	0.046482	15.726	17.416	77.414	31.767	46.601	221.20	22.967	undefined	undefined
229.81	0.83261	1086.6	0.00092029	3.4705	3.5042	16.823	40.396	80.451	846.65	-0.11968	undefined	undefined	0.013482	21.676	0.046134	15.728	17.419	77.371	31.798	46.676	221.20	22.909	undefined	undefined
230.03	0.83908	1085.9	0.00092092	3.4873	3.5213	16.897	40.392	80.495	845.30	-0.11855	undefined	undefined	0.013437	21.840	0.045788	15.731	17.422	77.327	31.828	46.751	221.20	22.851	undefined	undefined
230.24	0.84559	1085.1	0.00092156	3.5041	3.5384	16.970	40.387	80.538	843.94	-0.11741	undefined	undefined	0.013392	22.004	0.045446	15.733	17.425	77.283	31.859	46.826	221.20	22.793	undefined	undefined
230.45	0.85213	1084.4	0.00092219	3.5210	3.5556	17.043	40.382	80.582	842.59	-0.11627	undefined	undefined	0.013347	22.169	0.045107	15.736	17.428	77.239	31.890	46.901	221.20	22.735	undefined	undefined
230.66	0.85871	1083.6	0.00092283	3.5378	3.5727	17.116	40.378	80.627	841.23	-0.11511	undefined	undefined	0.013302	22.336	0.044771	15.739	17.431	77.195	31.920	46.977	221.19	22.678	undefined	undefined
230.87	0.86533	1082.9	0.00092347	3.5547	3.5899	17.190	40.373	80.671	839.88	-0.11396	undefined	undefined	0.013257	22.503	0.044438	15.741	17.434	77.152	31.951	47.053	221.19	22.621	undefined	undefined
231.09	0.87198	1082.1	0.00092411	3.5716	3.6070	17.263	40.369	80.716	838.52	-0.11279	undefined	undefined	0.013212	22.672	0.044108	15.744	17.436	77.108	31.982	47.130	221.19	22.565	undefined	undefined
231.30	0.87868	1081.4	0.00092475	3.5885	3.6242	17.336	40.364	80.761	837.17	-0.11162	undefined	undefined	0.013167	22.841	0.043781	15.746	17.439	77.065	32.013	47.207	221.18	22.508	undefined	undefined
231.51	0.88541	1080.6	0.00092540	3.6053	3.6414	17.409	40.359	80.807	835.81	-0.11045	undefined	undefined	0.013122	23.011	0.043457	15.749	17.442	77.021	32.043	47.284	221.18	22.452	undefined	undefined
231.72	0.89218	1079.9	0.00092605	3.6222	3.6586	17.482	40.355	80.852	834.46	-0.10927	undefined	undefined	0.013077	23.183	0.043136	15.751	17.445	76.978	32.074	47.361	221.17	22.396	undefined	undefined
231.93	0.89899	1079.1	0.00092669	3.6391	3.6758	17.555	40.351	80.898	833.10	-0.10808	undefined	undefined	0.013032	23.355	0.042817	15.754	17.448	76.934	32.105	47.439	221.17	22.340	undefined	undefined
232.15	0.90583	1078.4	0.00092734	3.6560	3.6930	17.628	40.346	80.944	831.75	-0.10688	undefined	undefined	0.012987	23.528	0.042502	15.756	17.451	76.891	32.136	47.517	221.16	22.285	undefined	undefined
232.36	0.91272	1077.6	0.00092799	3.6730	3.7102	17.701	40.342	80.991	830.39	-0.10568	undefined	undefined	0.012942	23.703	0.042189	15.759	17.453	76.848	32.167	47.596	221.16	22.229	undefined	undefined
232.57	0.91964	1076.8	0.00092865	3.6899	3.7275	17.774	40.337	81.038	829.03	-0.10447	undefined	undefined	0.012898	23.878	0.041879	15.761	17.456	76.805	32.197	47.674	221.15	22.174	undefined	undefined
232.78	0.92661	1076.1	0.00092930	3.7068	3.7447	17.847	40.333	81.085	827.68	-0.10325	undefined	undefined	0.012853	24.055	0.041572	15.764	17.459	76.762	32.228	47.753	221.14	22.119	undefined	undefined
232.99	0.93361	1075.3	0.00092996	3.7238	3.7620	17.920	40.329	81.132	826.32	-0.10203	undefined	undefined	0.012808	24.232	0.041267	15.766	17.462	76.718	32.259	47.833	221.13	22.065	undefined	undefined
233.21	0.94065	1074.6	0.00093061	3.7407	3.7792	17.992	40.325	81.180	824.96	-0.10080	undefined	undefined	0.012764	24.411	0.040965	15.768	17.464	76.676	32.290	47.912	221.13	22.010	undefined	undefined
233.42	0.94773	1073.8	0.00093127	3.7577	3.7965	18.065	40.320	81.228	823.60	-0.099563	undefined	undefined	0.012719	24.590	0.040666	15.771	17.467	76.633	32.321	47.992	221.12	21.956	undefined	undefined
233.63	0.95484	1073.0	0.00093194	3.7746	3.8138	18.138	40.316	81.276	822.25	-0.098320	undefined	undefined	0.012674	24.771	0.040370	15.773	17.470	76.590	32.352	48.073	221.11	21.902	undefined	undefined
233.84	0.96200	1072.3	0.00093260	3.7916	3.8311	18.211	40.312	81.324	820.89	-0.097069	undefined	undefined	0.012630	24.953	0.040076	15.776	17.473	76.547	32.383	48.153	221.10	21.849	undefined	undefined
234.05	0.96920	1071.5	0.00093326	3.8086	3.8484	18.283	40.308	81.373	819.53	-0.095812	undefined	undefined	0.012585	25.136	0.039784	15.778	17.475	76.504	32.414	48.234	221.09	21.795	undefined	undefined
234.27	0.97644	1070.7	0.00093393	3.8255	3.8657	18.356	40.304	81.422	818.17	-0.094547	undefined	undefined	0.012541	25.319	0.039495	15.780	17.478	76.461	32.445	48.316	221.08	21.742	undefined	undefined
234.48	0.98372	1070.0	0.00093460	3.8425	3.8830	18.429	40.300	81.472	816.81	-0.093276	undefined	undefined	0.012496	25.504	0.039209	15.783	17.480	76.419	32.476	48.398	221.07	21.689	undefined	undefined
234.69	0.99103	1069.2	0.00093527	3.8595	3.9003	18.501	40.296	81.522	815.45	-0.091997	undefined	undefined	0.012452	25.690	0.038925	15.785	17.483	76.376	32.507	48.480	221.06	21.637	undefined	undefined
